URL,Annotator ID,Segmentation Points (sec),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR0_ch01.mp4,P0,5.2743,8.2743,11.2743,17.2743,23.2743,29.2743,35.6493,38.2743,41.2743,44.2743,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR0_ch01.mp4,P1,5.6493,11.6493,17.6493,23.6493,29.6493,35.6493,38.6493,41.6493,44.6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR0_ch01.mp4,P2,0.7743,2.2743,3.7743,5.2743,6.7743,8.2743,9.7743,11.2743,12.7743,14.2743,15.7743,17.2743,18.7743,20.2743,21.7743,23.2743,26.2743,29.2743,32.2743,35.2743,38.2743,39.0243,39.7743,41.2743,44.2743,47.2743,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR1_ch02.mp4,P0,3.3577,4.6910,8.6910,10.0244,15.3577,16.6910,18.0244,20.6910,26.0244,28.6910,31.3577,34.0244,36.6910,39.3577,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR1_ch02.mp4,P1,5.0244,10.3577,15.6910,18.3577,21.0244,26.3577,29.0244,31.6910,34.3577,37.0244,39.6910,,,,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR1_ch02.mp4,P2,0.6910,2.0244,4.6910,6.0244,7.3577,10.0244,11.3577,12.6910,14.0244,15.3577,18.0244,18.6910,20.6910,23.3577,26.0244,27.3577,28.6910,31.3577,32.6910,34.0244,36.6910,38.0244,39.3577,40.6910,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR2_ch03.mp4,P0,1.2248,3.0248,4.8248,7.2248,9.6248,14.4248,16.8248,19.2248,21.6248,22.8248,24.0248,26.4248,27.6248,30.0248,31.2248,32.4248,33.6248,36.0248,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR2_ch03.mp4,P1,2.1248,6.9248,11.7248,14.1248,16.5248,18.9248,23.7248,26.1248,28.5248,30.9248,33.3248,35.7248,,,,,,,,,,,,,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR2_ch03.mp4,P2,0.6248,1.8248,3.0248,4.2248,6.6248,7.8248,9.0248,11.4248,13.8248,15.0248,16.2248,18.6248,19.8248,21.0248,22.2248,23.4248,25.8248,27.6248,29.4248,30.6248,32.4248,33.0248,34.2248,35.4248,,,,,,,,,,,,,
https://aistdancedb.ongaaccel.jp/v1.0.0/video/10M/gBR_sFM_c01_d04_mBR3_ch04.mp4,P0,3.8429,6.0247,8.2065,10.3883,12.5701,14.7519,16.9338,19.1156,21.2974,23.4792,25.6610,30.0247,32.7519,,,,,,,,,,,,,,,,,,,,,,,,
